X(E/m),Y(N/m)
332255.031030939,4128604.012281871
332255.04056235694,4128604.045390895
332255.04100655264,4128604.067581876
332255.0234984041,4128604.0790322735
332255.0241646977,4128604.112318748
332255.0157437669,4128604.1346871844
332255.0068786426,4128604.134864637
332255.0073228384,4128604.1570556196
332254.9895925899,4128604.1574105257
332254.9980135184,4128604.1350420904
332255.0150774733,4128604.1014007097
332255.0237205019,4128604.0901277643
332255.0237205019,4128604.0901277643
332255.0150774733,4128604.1014007097
332255.0237205019,4128604.0901277643
332255.0328077219,4128604.1010458036
332255.0421170418,4128604.123059334
332255.05120426626,4128604.1339773736
332255.0600693905,4128604.1337999213
332255.06893451477,4128604.133622468
332255.04233913973,4128604.1341548264
332255.015521669,4128604.123591692
332255.015521669,4128604.123591692
332255.01596586476,4128604.145782675
332254.99845771416,4128604.1572330724
332254.9891483941,4128604.135219543
332254.9891483941,4128604.135219543
332254.9889262961,4128604.12412405
332254.97983907396,4128604.1132060126
332254.979616976,4128604.1021105195
332254.97983907396,4128604.1132060126
332254.97119604755,4128604.1244789558
332254.97119604755,4128604.1244789558
332254.97141814546,4128604.135574448
332254.97983907396,4128604.1132060126
332254.9707518517,4128604.102287973
332254.9707518517,4128604.102287973
332254.97983907396,4128604.1132060126
332254.9891483941,4128604.135219543
332254.99867981207,4128604.168328563
332255.01685425633,4128604.190164642
332254.99867981207,4128604.168328563
332255.00798913214,4128604.1903420947
332255.02594148077,4128604.201082681
332255.02549728495,4128604.1788916974
332255.02505308914,4128604.1567007136
332255.02460889344,4128604.134509731
332255.0239425998,4128604.1012232564
332255.0239425998,4128604.1012232564
332255.0150774733,4128604.1014007097
332255.01529957115,4128604.112496201
332255.0150774733,4128604.1014007097
332255.0150774733,4128604.1014007097
332255.0150774733,4128604.1014007097
332255.0064344469,4128604.112673654
332255.0064344469,4128604.112673654
332254.9980135184,4128604.1350420904
332254.98050536774,4128604.1464924864
332254.96277511923,4128604.1468473924
332254.9541320929,4128604.1581203355
332254.9541320929,4128604.1581203355
332254.9541320929,4128604.1581203355
332254.9452669687,4128604.158297789
332254.94504487066,4128604.1472022976
332254.93617974414,4128604.147379751
332254.9273146199,4128604.1475572023
332254.9275367179,4128604.1586526954
332254.9275367179,4128604.1586526954
332254.9275367179,4128604.1586526954
332254.9275367179,4128604.1586526954
332254.9275367179,4128604.1586526954
332254.9275367179,4128604.1586526954
332254.9275367179,4128604.1586526954
