X(E/m),Y(N/m)
332247.8310414321,4128610.2835724414
332247.7521437994,4128610.329551555
332247.6639368335,4128610.3535171463
332247.56708685815,4128610.38875569
332247.4791020016,4128610.4238167745
332247.38202992163,4128610.4479598277
332247.28495783766,4128610.472102884
332247.17924274737,4128610.507518894
332247.09148000454,4128610.5536754746
332246.99485214264,4128610.6000095177
332246.889137055,4128610.6354255304
332246.79250919516,4128610.681759576
332246.69565922697,4128610.71699813
332246.6074522675,4128610.740963732
332246.52833253576,4128610.775847364
332246.4312604621,4128610.79999043
332246.3162360395,4128610.81339293
332246.2193860745,4128610.84863149
332246.1134488826,4128610.872952021
332246.0077338017,4128610.9083680464
332245.91974895634,4128610.9434291474
332245.8228989965,4128610.978667713
332245.71740602865,4128611.025179232
332245.60304794234,4128611.0718682185
332245.5150631002,4128611.106929323
332245.4184352526,4128611.1532633845
332245.33067252557,4128611.1994199827
332245.2338225686,4128611.2346585556
332245.1281074955,4128611.270074592
332245.0221703114,4128611.294395138
332244.92509824503,4128611.318538222
332244.8282482909,4128611.353776798
332244.7225332208,4128611.389192839
332244.6259053804,4128611.435526909
332244.5292775412,4128611.4818609837
332244.4235624736,4128611.5172770275
332244.3357997531,4128611.563433637
332244.2569021502,4128611.6094127847
332244.168917321,4128611.6444739033
332244.089797607,4128611.6793575613
332243.9931697732,4128611.725691639
332243.87858959415,4128611.761285157
332243.7728745325,4128611.79670121
332243.66693735827,4128611.8210217725
332243.57030952827,4128611.867355857
332243.47390381305,4128611.924785434
332243.3593236385,4128611.960378957
332243.25383069535,4128612.0068905097
332243.1481156391,4128612.0423065727
332242.9632808779,4128612.1126063038
332242.875073942,4128612.136571946
332242.76935888873,4128612.1719880113
332242.67250895256,4128612.207226615
332242.5490636686,4128612.2429976156
332242.45221373404,4128612.2782362215
332242.36445103376,4128612.3243928533
332242.2676010986,4128612.359631459
332242.1798384001,4128612.405788093
332242.0829884665,4128612.441026702
332242.00409088575,4128612.487005871
332241.9254154194,4128612.5440805308
332241.8374306065,4128612.5791416764
332241.75808879617,4128612.602929864
332241.65215163666,4128612.6272504535
332241.5464365941,4128612.662666536
332241.44936454936,4128612.686809661
332241.3613797419,4128612.721870812
332241.256108935,4128612.779477881
332241.05376608996,4128612.861228083
332240.9660034007,4128612.907384728
332240.87824071234,4128612.9535413766
332240.79889890563,4128612.9773295736
332240.70204898826,4128613.0125681977
332240.6051990671,4128613.047806825
332240.50834914896,4128613.0830454524
332240.4114992339,4128613.1182840816
332240.29669696646,4128613.1427821573
332240.0941320225,4128613.21343689
332239.99728210596,4128613.2486755243
332239.9095194284,4128613.294832182
332239.8038044005,4128613.3302482883
332239.71581960376,4128613.365309455
332239.62783480756,4128613.400370625
332239.5309848971,4128613.4356092634
332239.4430001024,4128613.470670435
332239.3370629592,4128613.4949910543
332239.12563291367,4128613.5658232803
332239.0285608872,4128613.589966434
332238.9228458663,4128613.6253825505
332238.82599596336,4128613.660621199
332238.720280944,4128613.6960373186
332238.6234310382,4128613.7312759687
332238.5263590148,4128613.7554191276
332238.43837422715,4128613.7904803096
332238.3503894425,4128613.825541492
332238.2799127647,4128613.849152243
332238.18284074345,4128613.873295405
332238.0859908438,4128613.908534063
